2018-02-05_03-01-16-4690,         0.0899,         0.0762,         1.0000,        24.0000,        33.0000,        57.0000,         5.0000,       351.9000
2018-02-05_03-01-28-8870,         0.0911,         0.0762,         1.0000,        31.0000,        30.0000,        61.0000,         0.0000,       361.8000
2018-02-05_03-01-29-5370,         0.0905,         0.0762,         0.0000,        29.0000,        33.0000,        62.0000,         2.0000,       362.3000
2018-02-05_03-01-40-6540,         0.0910,         0.0762,         0.0000,        33.0000,        32.0000,        65.0000,         0.0000,       371.2000
2018-02-05_03-01-41-2540,         0.0917,         0.0762,         0.0000,        29.0000,        29.0000,        58.0000,         3.0000,       371.7000
2018-02-05_03-01-54-2720,         0.0899,         0.0762,         0.0000,        30.0000,        42.0000,        72.0000,         4.0000,       382.1000
2018-02-05_03-01-54-8730,         0.0904,         0.0761,         1.0000,        28.0000,        32.0000,        60.0000,         4.0000,       382.6000
2018-02-05_03-02-06-1890,         0.0908,         0.0758,         0.0000,        30.0000,        39.0000,        69.0000,         4.0000,       391.6000
2018-02-05_03-02-06-7900,         0.0905,         0.0761,         0.0000,        31.0000,        27.0000,        58.0000,         2.0000,       392.1000
2018-02-05_03-02-19-1560,         0.0918,         0.0761,         1.0000,        32.0000,        33.0000,        65.0000,         7.0000,       402.0000
2018-02-05_03-02-19-7080,         0.0912,         0.0762,         0.0000,        33.0000,        34.0000,        67.0000,         1.0000,       402.4000
2018-02-05_03-02-31-3240,         0.0920,         0.0761,         0.0000,        26.0000,        27.0000,        53.0000,         4.0000,       411.7000
2018-02-05_03-02-31-8760,         0.0921,         0.0761,         1.0000,        25.0000,        30.0000,        55.0000,         2.0000,       412.2000
2018-02-05_03-02-44-2930,         0.0906,         0.0761,         0.0000,        34.0000,        29.0000,        63.0000,         2.0000,       422.1000
2018-02-05_03-02-44-8960,         0.0915,         0.0761,         0.0000,        29.0000,        34.0000,        63.0000,         3.0000,       422.5000
2018-02-05_03-02-56-3130,         0.0902,         0.0762,         0.0000,        31.0000,        36.0000,        67.0000,         0.0000,       431.7000
2018-02-05_03-02-56-9100,         0.0913,         0.0762,         0.0000,        29.0000,        31.0000,        60.0000,         2.0000,       432.2000
